participant_id|gender|birthyear|education|aut1|aut2|aut3|aut4|comp1|comp2|comp3|comp4|rel1|rel2|rel3|rel4|rel5|PVQ_M_1|PVQ_M_2|PVQ_M_3|PVQ_M_4|PVQ_M_5|PVQ_M_6|PVQ_M_7|PVQ_M_8|PVQ_M_9|PVQ_M_10|PVQ_M_11|PVQ_M_12|PVQ_M_13|PVQ_M_14|PVQ_M_15|PVQ_M_16|PVQ_M_17|PVQ_M_18|PVQ_M_19|PVQ_M_20|PVQ_M_21|PVQ_K_1|PVQ_K_2|PVQ_K_3|PVQ_K_4|PVQ_K_5|PVQ_K_6|PVQ_K_7|PVQ_K_8|PVQ_K_9|PVQ_K_10|PVQ_K_11|PVQ_K_12|PVQ_K_13|PVQ_K_14|PVQ_K_15|PVQ_K_16|PVQ_K_17|PVQ_K_18|PVQ_K_19|PVQ_K_20|PVQ_K_21|llm_aut_rep1|llm_aut_rep2|llm_aut_rep3|llm_com_rep1|llm_com_rep2|llm_com_rep3|llm_rel_rep1|llm_rel_rep2|llm_rel_rep3|longstring_length|flag_longstring|within_person_sd|flag_low_sd|missing_aut|missing_comp|missing_rel|pct_missing_aut|pct_missing_comp|pct_missing_rel|flag_missing|flag_exclude
1_1p|2|1999|6|4|4|2|4|4|4|4|3|4|4|3|4|3|3|3|1|4|3|2|2|1|2|2|2|2|3|2|4|3|3|2|2|3|2|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|2|2|1|1|1|3|3|4|4|FALSE|0.946|FALSE|0|0|0|0|0|0|FALSE|FALSE
2_1p|2|1965|4|3|3|3|3|4|4|3|3|3|4|4|3|4|2|5|3|4|3|4|4|3|4|5|3|4|5|3|4|3|4|4|4|4|4|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|2|2|2|2|2|3|3|3|5|FALSE|0.697|FALSE|0|0|0|0|0|0|FALSE|FALSE
3_1p|2|1968|6|5|5|5|5|5|5|5|5|5|5|5|5|5|2|1|1|3|3|3|6|1|1|3|1|2|4|2|2|2|4|1|4|4|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|2|3|2|2|3|3|3|3|13|TRUE|1.619|FALSE|0|0|0|0|0|0|FALSE|TRUE
4_1p|2|1990|6|1|1|1|1|1|1|1|2|1|1|1|1|1|1|5|1|3|4|1|1|1|1|1|1|1|3|1|1|5|3|1|1|1|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|2|2|2|2|2|4|4|4|11|TRUE|1.161|FALSE|0|0|0|0|0|0|FALSE|TRUE
5_1p|2|1994|5|2|3|2|3|2|4|3|2|2|2|3|2|2|4|3|3|3|2|3|1|2|2|3|3|1|4|3|3|5|3|4|3|1|4|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|2|2|3|3|2|3|3|3|3|FALSE|0.938|FALSE|0|0|0|0|0|0|FALSE|FALSE
8_1p|1|1995|6|2|4|3|4|1|4|3|2|1|1|1|4|2|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|4|2|4|4|2|1|4|2|3|3|4|2|3|5|3|1|2|3|2|2|2|2|2|3|3|2|4|4|4|3|FALSE|1.147|FALSE|0|0|0|0|0|0|FALSE|FALSE
9_1p|1|1982|3|4|5|4|4|5|4|4|4|4|5|5|5|5|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|5|1|6|3|3|2|2|3|2|1|1|5|3|3|3|4|1|1|4|1|3|3|3|3|3|3|4|4|4|4|FALSE|1.477|FALSE|0|0|0|0|0|0|FALSE|FALSE
11_1p|2|1974|5|3|3|2|4|4|4|2|3|4|3|4|4|4|4|1|5|3|2|5|4|2|3|4|3|3|2|1|3|3|4|2|4|2|4|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|3|3|3|3|3|3|3|3|3|FALSE|1.029|FALSE|0|0|0|0|0|0|FALSE|FALSE
13_1p|1|1994|4|4|4|1|4|3|5|5|5|3|3|3|3|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|1|4|3|2|1|1|1|1|3|2|1|1|3|2|4|4|2|4|4|2|3|2|2|2|3|3|3|3|3|3|5|FALSE|1.298|FALSE|0|0|0|0|0|0|FALSE|FALSE
14_1p|1|1992|3|4|3|3|4|4|4|4|4|4|4|4|4|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|2|1|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|3|3|3|3|3|3|15|TRUE|1.327|FALSE|0|0|0|0|0|0|FALSE|TRUE
